episode,cumulative_reward,avg_latency_ms,total_actions,NOOP_count,FIRE_count,UP_count,DOWN_count,RIGHTFIRE_count,LEFTFIRE_count
52,6.0,23.8079936504364,1000,335,90,57,296,90,132
53,-20.0,23.794504399805444,839,66,48,94,279,66,285
54,-20.0,24.46884925334846,857,85,78,87,260,49,297
55,-4.0,24.771619081497192,1000,240,73,49,291,130,217
56,3.0,24.895062923431396,1000,331,77,74,265,114,139
57,-20.0,24.77936234761695,879,80,87,144,278,45,244
58,-19.0,24.855914855909983,973,182,79,59,185,37,430
59,-17.0,24.696938276290894,1000,131,72,141,340,55,261
60,-20.0,23.67190997547697,857,67,51,99,289,57,293
61,-18.0,24.081019401550293,1000,187,83,40,163,30,497
62,-20.0,24.114094528497436,867,87,58,99,275,60,287
63,-19.0,24.053621682564337,977,167,67,30,152,27,533
64,-9.0,23.56860089302063,1000,190,101,108,336,76,189
65,-21.0,24.868061956094238,784,46,55,153,266,33,230
66,1.0,25.028873920440674,1000,251,98,47,349,78,177
67,-8.0,24.784931182861328,1000,291,73,36,142,70,388
68,-12.0,23.810118913650513,1000,169,66,151,317,94,203
69,2.0,23.83544921875,1000,313,84,66,262,114,161
70,-17.0,24.299750328063965,1000,129,99,157,307,46,262
71,3.0,24.480765342712402,1000,344,74,45,267,135,135
72,2.0,24.444370985031128,1000,312,81,58,244,137,168
73,-9.0,24.856457948684692,1000,147,99,123,345,68,218
74,-1.0,24.924199104309082,1000,270,76,86,246,186,136
75,-20.0,23.358367738269624,945,87,68,112,314,76,287
76,-20.0,23.713988006574972,907,82,87,91,278,36,332
77,-18.0,25.145601938428054,994,224,99,43,182,52,393
78,-10.0,24.748846292495728,1000,158,75,113,356,101,197
79,-21.0,24.878878500589938,873,81,72,131,278,51,259
80,-12.0,24.861814975738525,1000,191,75,87,356,104,187
81,-12.0,24.98563814163208,1000,179,89,136,326,64,206
82,-15.0,24.019099235534668,1000,101,96,136,388,54,225
83,8.0,23.90259838104248,1000,392,90,59,256,95,108
84,-15.0,24.141977548599243,1000,136,106,86,305,45,322
85,-12.0,24.906079053878784,1000,174,79,135,343,49,220
86,3.0,24.837350845336914,1000,276,123,48,284,110,159
87,4.0,25.055861234664917,1000,283,109,83,273,108,144
88,4.0,25.358747243881226,1000,286,91,66,293,114,150
89,-17.0,27.745539665222168,1000,147,90,139,308,51,265
90,-10.0,27.36016273498535,1000,166,92,141,341,81,179
91,-19.0,27.303721531327948,996,172,77,65,216,43,422
92,-4.0,27.62902855873108,1000,257,85,79,245,81,253
93,-17.0,28.359935522079468,1000,194,74,59,182,63,428
94,-20.0,28.19007309544988,952,93,61,146,309,43,299
95,-21.0,28.00806513372457,901,59,83,136,318,49,255
96,5.0,28.448323488235474,1000,297,97,53,328,92,133
97,-12.0,27.014328002929688,1000,199,92,90,294,85,240
98,-20.0,27.442338969880733,867,64,71,87,299,64,281
99,-9.0,27.57810616493225,1000,211,112,30,378,64,205
100,1.0,28.389808893203735,1000,269,105,52,296,133,145
