episode_id,episode_length,episode_return,positive_rewards,negative_rewards,total_reward_magnitude,action_agreement_rate,repeated_frames,unique_actions,most_common_action
140,2685,-3.0,18,21,39.0,0.9206703910614525,688,6,0
141,2271,10.0,21,11,32.0,0.9225011008366358,544,6,0
142,2252,14.0,21,7,28.0,0.9174067495559503,536,6,0
143,2247,-4.0,17,21,38.0,0.9332443257676902,532,6,0
144,2556,8.0,21,13,34.0,0.9330985915492958,583,6,0
145,2558,-1.0,20,21,41.0,0.9112587959343237,651,6,0
146,2450,5.0,21,16,37.0,0.926530612244898,587,6,0
147,3050,-2.0,19,21,40.0,0.9111475409836065,748,6,0
148,2506,6.0,21,15,36.0,0.9253790901835595,632,6,0
149,2620,-4.0,17,21,38.0,0.9244274809160306,644,6,0
150,2787,3.0,21,18,39.0,0.9081449587369932,703,6,0
151,2589,2.0,21,19,40.0,0.9161838547701815,656,6,0
152,2574,6.0,21,15,36.0,0.9188034188034188,664,6,0
153,1988,14.0,21,7,28.0,0.9305835010060363,517,6,0
154,1861,18.0,21,3,24.0,0.922622246104245,504,6,0
155,2424,11.0,21,10,31.0,0.9216171617161716,650,6,0
156,2688,2.0,21,19,40.0,0.9278273809523809,650,6,0
157,2445,5.0,21,16,37.0,0.9300613496932515,584,6,0
158,2723,5.0,21,16,37.0,0.9214102093279471,682,6,0
159,2659,1.0,21,20,41.0,0.9078600977811208,654,6,0
160,2349,-4.0,17,21,38.0,0.9178373776074925,582,6,0
161,2538,9.0,21,12,33.0,0.9223798266351458,643,6,0
162,2542,8.0,21,13,34.0,0.9319433516915814,615,6,0
163,2242,9.0,21,12,33.0,0.9206066012488849,569,6,0
164,2380,6.0,21,15,36.0,0.9176470588235294,562,6,0
165,2732,-2.0,19,21,40.0,0.921303074670571,708,6,0
166,2542,6.0,21,15,36.0,0.9158143194335169,650,6,0
167,2573,-5.0,16,21,37.0,0.9133307423241352,681,6,0
168,2208,-8.0,13,21,34.0,0.9125905797101449,537,6,0
169,2426,-8.0,13,21,34.0,0.9101401483924155,608,6,0
170,2308,11.0,21,10,31.0,0.9237435008665511,565,6,0
171,3008,-4.0,17,21,38.0,0.9072473404255319,754,6,3
172,2902,1.0,21,20,41.0,0.9155754651964163,704,6,0
173,2473,8.0,21,13,34.0,0.919530934088152,604,6,0
174,2432,6.0,21,15,36.0,0.9120065789473685,636,6,0
175,3185,-2.0,19,21,40.0,0.9237048665620095,817,6,0
176,2751,-1.0,20,21,41.0,0.9193020719738277,681,6,0
